Metric,Value,Unit
CPU_Throughput,477.63,eps
Mem_Bandwidth,20808.61,MiB/s
Disk_Container_Layer,432,MB/s
Disk_Docker_Volume,176,MB/s
Network_Bridge_Mode,34.0,Gbits/sec
Network_Host_Mode,37.3,Gbits/sec
