Metric,Value,Unit
CPU_Throughput,407.92,eps
Mem_Bandwidth,17788.15,MiB/s
Disk_Container_Layer,606,MB/s
Disk_Docker_Volume,687,MB/s
Network_Bridge_Mode,30.9,Gbits/sec
Network_Host_Mode,31.3,Gbits/sec
